seq,commit_ts,op,tarjeta,perfil,zona_residencia,estado
7474,2026-06-11T02:28:00,UPDATE,TC-00053049,trabajador,Zona 4,ACTIVA
7475,2026-06-11T04:02:00,UPDATE,TC-00016824,estudiante,San Miguel Petapa,ACTIVA
7476,2026-06-11T22:46:00,UPDATE,TC-00044263,adulto_mayor,Zona 10,ACTIVA
7477,2026-06-11T07:08:00,UPDATE,TC-00010262,estudiante,Zona 6,ACTIVA
7478,2026-06-11T19:32:00,UPDATE,TC-00004002,general,Zona 10,ACTIVA
7479,2026-06-11T16:27:00,UPDATE,TC-00004997,adulto_mayor,Villa Nueva,ACTIVA
7480,2026-06-11T12:03:00,UPDATE,TC-00025889,adulto_mayor,San Miguel Petapa,ACTIVA
7481,2026-06-11T07:26:00,UPDATE,0000045373,general,Zona 4,ACTIVA
7482,2026-06-11T08:01:00,UPDATE,TC-00005946,trabajador,Zona 7,ACTIVA
7483,2026-06-11T09:44:00,UPDATE,0000000381,general,Zona 1,ACTIVA
7484,2026-06-11T13:00:00,UPDATE,TC-00059612,adulto_mayor,Zona 11,ACTIVA
7485,2026-06-11T12:23:00,UPDATE,TC-00010065,trabajador,Zona 1,ACTIVA
7486,2026-06-11T11:57:00,UPDATE,TC-00002773,trabajador,San Miguel Petapa,ACTIVA
7487,2026-06-11T16:53:00,UPDATE,TC-00055171,general,Zona 8,ACTIVA
7488,2026-06-11T01:56:00,UPDATE,TC-00009823,estudiante,Zona 17,ACTIVA
7489,2026-06-11T08:38:00,UPDATE,TC-00027090,trabajador,Zona 7,ACTIVA
7490,2026-06-11T12:55:00,UPDATE,TC-00044771,estudiante,San Miguel Petapa,ACTIVA
7491,2026-06-11T02:17:00,UPDATE,0000008807,estudiante,Zona 1,ACTIVA
7492,2026-06-11T11:29:00,UPDATE,TC-00045915,estudiante,San Miguel Petapa,ACTIVA
7493,2026-06-11T20:39:00,UPDATE,TC-00023987,trabajador,Zona 8,ACTIVA
7494,2026-06-11T11:56:00,UPDATE,TC-00053318,general,Santa Catarina Pinula,ACTIVA
7495,2026-06-11T19:10:00,UPDATE,0000011840,estudiante,Zona 12,ACTIVA
7496,2026-06-11T14:01:00,UPDATE,TC-00000762,adulto_mayor,Zona 18,ACTIVA
7497,2026-06-11T06:38:00,UPDATE,TC-00043193,general,Zona 6,ACTIVA
7498,2026-06-11T12:09:00,UPDATE,0000008097,general,San Miguel Petapa,ACTIVA
7499,2026-06-11T03:37:00,UPDATE,TC-00022903,adulto_mayor,Zona 12,ACTIVA
7500,2026-06-11T08:20:00,UPDATE,TC-00038226,trabajador,San Miguel Petapa,ACTIVA
7501,2026-06-11T08:38:00,DELETE,TC-00046318,,,
7502,2026-06-11T02:52:00,DELETE,0000012958,,,
7503,2026-06-11T08:07:00,DELETE,TC-00051397,,,
7504,2026-06-11T22:27:00,DELETE,0000026734,,,
7505,2026-06-11T00:12:00,DELETE,SIN-TARJETA,,,
7506,2026-06-11T16:54:00,DELETE,TC-00032306,,,
7507,2026-06-11T18:08:00,DELETE,TC-00026989,,,
7508,2026-06-11T23:24:00,DELETE,0000034444,,,
7509,2026-06-11T12:22:00,DELETE,TC-00029758,,,
7510,2026-06-11T21:28:00,DELETE,TC-00010262,,,
7511,2026-06-11T10:14:00,DELETE,TC-00023183,,,
7512,2026-06-11T06:55:00,DELETE,TC-00006132,,,
7513,2026-06-11T09:00:00,DELETE,0000028465,,,
7514,2026-06-11T16:49:00,DELETE,TC-00034019,,,
7515,2026-06-11T03:07:00,DELETE,MR0021657,,,
7516,2026-06-11T17:57:00,DELETE,SIN-TARJETA,,,
7517,2026-06-11T01:29:00,DELETE,TC-00056430,,,
7518,2026-06-11T03:53:00,DELETE,SIN-TARJETA,,,
7519,2026-06-11T18:14:00,DELETE,TC-00000265,,,
7520,2026-06-11T10:43:00,DELETE,TC-00036778,,,
7521,2026-06-11T02:42:00,DELETE,TC-00037320,,,
7522,2026-06-11T01:58:00,DELETE,TC-00042808,,,
7523,2026-06-11T09:18:00,DELETE,MR0003155,,,
7524,2026-06-11T21:49:00,DELETE,TC-00043252,,,
7525,2026-06-11T04:56:00,DELETE,0000016371,,,
7526,2026-06-11T23:29:00,DELETE,TC-00029403,,,
7527,2026-06-11T12:56:00,DELETE,SIN-TARJETA,,,
7528,2026-06-11T07:08:00,DELETE,TC-00035497,,,
7529,2026-06-11T16:21:00,DELETE,TC-00029446,,,
7530,2026-06-11T15:53:00,DELETE,TC-00023029,,,
7531,2026-06-11T13:52:00,DELETE,TC-00015656,,,
7532,2026-06-11T11:15:00,DELETE,MR0009629,,,
7533,2026-06-11T11:24:00,DELETE,TC-00047833,,,
7534,2026-06-11T23:00:00,DELETE,TC-00021842,,,
7535,2026-06-11T16:38:00,DELETE,MR0047876,,,
7536,2026-06-11T06:27:00,DELETE,0000040795,,,
7537,2026-06-11T10:13:00,DELETE,TC-00052032,,,
7538,2026-06-11T04:11:00,DELETE,TC-00023957,,,
7539,2026-06-11T00:34:00,DELETE,TC-00013151,,,
7540,2026-06-11T07:16:00,DELETE,0000008782,,,
7541,2026-06-11T16:05:00,DELETE,TC-00010437,,,
7542,2026-06-11T10:52:00,DELETE,SIN-TARJETA,,,
7543,2026-06-11T12:41:00,DELETE,TC-00023044,,,
7544,2026-06-11T04:43:00,DELETE,TC-00058743,,,
7545,2026-06-11T19:54:00,DELETE,TC-00042313,,,
7546,2026-06-11T00:19:00,DELETE,TC-00018172,,,
7547,2026-06-11T00:51:00,DELETE,TC-00024519,,,
7548,2026-06-11T05:24:00,DELETE,TC-00008082,,,
7549,2026-06-11T16:05:00,DELETE,0000027411,,,
7550,2026-06-11T10:00:00,DELETE,TC-00022973,,,
7551,2026-06-11T08:55:00,DELETE,TC-00027020,,,
7552,2026-06-11T11:58:00,DELETE,TC-00023583,,,
7553,2026-06-11T19:46:00,DELETE,0000007386,,,
7554,2026-06-11T21:49:00,DELETE,TC-00002243,,,
7555,2026-06-11T07:32:00,DELETE,TC-00043488,,,
7556,2026-06-11T20:40:00,DELETE,TC-00021589,,,
7557,2026-06-11T19:45:00,DELETE,TC-00035796,,,
7558,2026-06-11T21:28:00,DELETE,TC-00056396,,,
7559,2026-06-11T03:21:00,DELETE,TC-00004739,,,
7560,2026-06-11T06:18:00,DELETE,TC-00044532,,,
7561,2026-06-11T12:19:00,DELETE,TC-00044238,,,
7562,2026-06-11T06:19:00,DELETE,TC-00035462,,,
7563,2026-06-11T11:31:00,DELETE,TC-00006200,,,
7564,2026-06-11T06:05:00,DELETE,TC-00035905,,,
7565,2026-06-11T08:02:00,DELETE,TC-00025784,,,
7566,2026-06-11T02:08:00,DELETE,TC-00002371,,,
7567,2026-06-11T03:26:00,DELETE,SIN-TARJETA,,,
7568,2026-06-11T15:49:00,DELETE,SIN-TARJETA,,,
7569,2026-06-11T11:57:00,DELETE,TC-00037410,,,
7570,2026-06-11T21:42:00,DELETE,TC-00051561,,,
7571,2026-06-11T16:26:00,DELETE,MR0035521,,,
7572,2026-06-11T15:24:00,DELETE,TC-00000201,,,
7573,2026-06-11T10:09:00,DELETE,TC-00029344,,,
7574,2026-06-11T16:22:00,DELETE,TC-00042529,,,
7575,2026-06-11T03:07:00,DELETE,TC-00048366,,,
7576,2026-06-11T07:26:00,DELETE,TC-00048962,,,
7577,2026-06-11T23:34:00,DELETE,TC-00022233,,,
7578,2026-06-11T18:17:00,DELETE,TC-00005489,,,
7579,2026-06-11T21:24:00,DELETE,0000040981,,,
7580,2026-06-11T17:30:00,DELETE,0000022380,,,
7581,2026-06-11T08:58:00,DELETE,TC-00042407,,,
7582,2026-06-11T16:20:00,DELETE,TC-00012340,,,
7583,2026-06-11T21:22:00,DELETE,TC-00026450,,,
7584,2026-06-11T19:02:00,DELETE,TC-00036186,,,
7585,2026-06-11T13:28:00,DELETE,TC-00020770,,,
7586,2026-06-11T18:36:00,DELETE,TC-00051988,,,
7587,2026-06-11T11:14:00,DELETE,TC-00059844,,,
7588,2026-06-11T15:27:00,DELETE,TC-00041894,,,
7589,2026-06-11T02:07:00,DELETE,0000042455,,,
7590,2026-06-11T07:12:00,DELETE,TC-00020109,,,
7591,2026-06-12T15:42:00,INSERT,TC-00053333,general,San Miguel Petapa,ACTIVA
7592,2026-06-12T01:16:00,INSERT,0000033370,general,Zona 9,ACTIVA
7593,2026-06-12T09:02:00,INSERT,TC-00051605,trabajador,Zona 12,ACTIVA
7594,2026-06-12T17:16:00,INSERT,TC-00022938,trabajador,Zona 8,ACTIVA
7595,2026-06-12T16:03:00,INSERT,0000007831,trabajador,Zona 12,ACTIVA
7596,2026-06-12T15:19:00,INSERT,TC-00022915,trabajador,Zona 7,ACTIVA
7597,2026-06-12T08:09:00,INSERT,0000021327,trabajador,Villa Nueva,ACTIVA
7598,2026-06-12T00:08:00,INSERT,SIN-TARJETA,general,San Miguel Petapa,ACTIVA
7599,2026-06-12T04:54:00,INSERT,TC-00017543,trabajador,San Miguel Petapa,ACTIVA
7600,2026-06-12T19:38:00,INSERT,TC-00057150,adulto_mayor,Zona 6,ACTIVA
7601,2026-06-12T02:29:00,INSERT,TC-00004001,trabajador,Zona 10,ACTIVA
7602,2026-06-12T13:35:00,INSERT,SIN-TARJETA,trabajador,Zona 18,ACTIVA
7603,2026-06-12T17:39:00,INSERT,TC-00039281,trabajador,Mixco,ACTIVA
7604,2026-06-12T02:26:00,INSERT,TC-00005670,trabajador,Zona 12,ACTIVA
7605,2026-06-12T17:06:00,INSERT,TC-00031418,trabajador,Zona 18,ACTIVA
7606,2026-06-12T18:27:00,INSERT,TC-00048595,trabajador,Zona 1,ACTIVA
7607,2026-06-12T03:14:00,INSERT,0000037289,trabajador,Zona 7,ACTIVA
7608,2026-06-12T14:18:00,INSERT,SIN-TARJETA,trabajador,Zona 6,ACTIVA
7609,2026-06-12T15:45:00,INSERT,TC-00036708,adulto_mayor,Zona 1,ACTIVA
7610,2026-06-12T09:30:00,INSERT,SIN-TARJETA,trabajador,Zona 9,ACTIVA
7611,2026-06-12T02:07:00,INSERT,TC-00056444,adulto_mayor,Zona 7,ACTIVA
7612,2026-06-12T02:11:00,INSERT,0000020972,trabajador,Santa Catarina Pinula,ACTIVA
7613,2026-06-12T13:46:00,INSERT,TC-00014936,estudiante,Villa Nueva,ACTIVA
7614,2026-06-12T22:30:00,INSERT,TC-00031124,trabajador,Zona 8,ACTIVA
7615,2026-06-12T15:48:00,INSERT,TC-00016123,estudiante,San Miguel Petapa,ACTIVA
7616,2026-06-12T16:53:00,INSERT,TC-00003069,general,Zona 6,ACTIVA
7617,2026-06-12T18:49:00,INSERT,TC-00048305,trabajador,Zona 7,ACTIVA
7618,2026-06-12T21:35:00,INSERT,TC-00025358,general,Zona 4,ACTIVA
7619,2026-06-12T16:06:00,INSERT,TC-00044556,trabajador,Santa Catarina Pinula,ACTIVA
7620,2026-06-12T04:27:00,INSERT,SIN-TARJETA,trabajador,Zona 1,ACTIVA
7621,2026-06-12T07:13:00,INSERT,0000059353,estudiante,Zona 12,ACTIVA
7622,2026-06-12T17:11:00,INSERT,0000059900,general,Santa Catarina Pinula,ACTIVA
7623,2026-06-12T19:25:00,INSERT,MR0032178,estudiante,Zona 1,ACTIVA
7624,2026-06-12T04:05:00,INSERT,TC-00031865,trabajador,Villa Nueva,ACTIVA
7625,2026-06-12T10:50:00,INSERT,SIN-TARJETA,general,Zona 7,ACTIVA
7626,2026-06-12T02:55:00,INSERT,TC-00058468,trabajador,Zona 10,ACTIVA
7627,2026-06-12T01:41:00,INSERT,SIN-TARJETA,trabajador,Zona 17,ACTIVA
7628,2026-06-12T06:29:00,INSERT,0000022799,trabajador,Zona 11,ACTIVA
7629,2026-06-12T05:02:00,INSERT,TC-00052224,general,Zona 17,ACTIVA
7630,2026-06-12T17:54:00,INSERT,TC-00008722,trabajador,Villa Nueva,ACTIVA
7631,2026-06-12T09:22:00,INSERT,TC-00041216,trabajador,Villa Nueva,ACTIVA
7632,2026-06-12T11:51:00,INSERT,TC-00007046,trabajador,Santa Catarina Pinula,ACTIVA
7633,2026-06-12T07:36:00,INSERT,TC-00045619,trabajador,Mixco,ACTIVA
7634,2026-06-12T22:43:00,INSERT,TC-00025168,general,San Miguel Petapa,ACTIVA
7635,2026-06-12T04:42:00,INSERT,TC-00058679,general,Zona 1,ACTIVA
7636,2026-06-12T21:11:00,INSERT,TC-00058325,general,Zona 7,ACTIVA
7637,2026-06-12T20:45:00,INSERT,0000058712,trabajador,Zona 10,ACTIVA
7638,2026-06-12T05:54:00,INSERT,TC-00036088,trabajador,Zona 4,ACTIVA
7639,2026-06-12T12:57:00,INSERT,TC-00031159,trabajador,San Miguel Petapa,ACTIVA
7640,2026-06-12T14:37:00,INSERT,0000041798,trabajador,Zona 7,ACTIVA
7641,2026-06-12T10:40:00,INSERT,TC-00021873,adulto_mayor,Villa Nueva,ACTIVA
7642,2026-06-12T05:13:00,INSERT,TC-00031378,general,Villa Nueva,ACTIVA
7643,2026-06-12T06:00:00,INSERT,TC-00019352,trabajador,Zona 8,ACTIVA
7644,2026-06-12T21:08:00,INSERT,TC-00049543,trabajador,Zona 18,ACTIVA
7645,2026-06-12T16:16:00,INSERT,TC-00041249,adulto_mayor,Mixco,ACTIVA
7646,2026-06-12T02:25:00,INSERT,TC-00011551,trabajador,Villa Nueva,ACTIVA
7647,2026-06-12T04:55:00,INSERT,TC-00058332,general,Santa Catarina Pinula,ACTIVA
7648,2026-06-12T03:45:00,INSERT,TC-00003428,general,Santa Catarina Pinula,ACTIVA
7649,2026-06-12T05:21:00,INSERT,0000048581,estudiante,Zona 4,ACTIVA
7650,2026-06-12T02:51:00,INSERT,TC-00017313,trabajador,Zona 9,ACTIVA
7651,2026-06-12T21:42:00,INSERT,TC-00025369,estudiante,Zona 8,ACTIVA
7652,2026-06-12T13:59:00,INSERT,0000008831,trabajador,Santa Catarina Pinula,ACTIVA
7653,2026-06-12T22:18:00,INSERT,TC-00040202,trabajador,Zona 4,ACTIVA
7654,2026-06-12T06:34:00,INSERT,TC-00000374,trabajador,Zona 4,ACTIVA
7655,2026-06-12T10:35:00,INSERT,TC-00044044,trabajador,Zona 1,ACTIVA
7656,2026-06-12T03:01:00,INSERT,MR0015158,trabajador,San Miguel Petapa,ACTIVA
7657,2026-06-12T18:52:00,INSERT,TC-00016557,trabajador,Zona 8,ACTIVA
7658,2026-06-12T08:02:00,INSERT,0000000096,general,San Miguel Petapa,ACTIVA
7659,2026-06-12T09:29:00,INSERT,0000046567,estudiante,Zona 13,ACTIVA
7660,2026-06-12T06:45:00,INSERT,TC-00008714,trabajador,Villa Nueva,ACTIVA
7661,2026-06-12T16:26:00,INSERT,TC-00005850,adulto_mayor,Zona 17,ACTIVA
7662,2026-06-12T02:53:00,INSERT,TC-00016849,general,Zona 4,ACTIVA
7663,2026-06-12T03:24:00,INSERT,TC-00058175,general,Zona 4,ACTIVA
7664,2026-06-12T01:35:00,INSERT,0000047107,trabajador,Zona 7,ACTIVA
7665,2026-06-12T03:30:00,INSERT,TC-00032736,general,Zona 4,ACTIVA
7666,2026-06-12T10:15:00,INSERT,TC-00000215,general,San Miguel Petapa,ACTIVA
7667,2026-06-12T06:36:00,INSERT,TC-00030638,trabajador,Zona 17,ACTIVA
7668,2026-06-12T00:39:00,INSERT,TC-00024718,general,San Miguel Petapa,ACTIVA
7669,2026-06-12T09:15:00,INSERT,TC-00054182,trabajador,Zona 9,ACTIVA
7670,2026-06-12T14:28:00,INSERT,TC-00046687,estudiante,Zona 9,ACTIVA
7671,2026-06-12T07:11:00,INSERT,TC-00021203,adulto_mayor,Zona 8,ACTIVA
7672,2026-06-12T14:45:00,INSERT,TC-00013488,trabajador,Zona 18,ACTIVA
7673,2026-06-12T03:46:00,INSERT,TC-00012245,trabajador,Zona 4,ACTIVA
7674,2026-06-12T03:27:00,INSERT,TC-00048857,adulto_mayor,Zona 17,ACTIVA
7675,2026-06-12T15:39:00,INSERT,0000013718,trabajador,Zona 18,ACTIVA
7676,2026-06-12T22:51:00,INSERT,TC-00015285,trabajador,Zona 11,ACTIVA
7677,2026-06-12T17:05:00,INSERT,TC-00037197,general,Zona 1,ACTIVA
7678,2026-06-12T21:02:00,INSERT,TC-00048481,estudiante,Zona 1,ACTIVA
7679,2026-06-12T17:10:00,INSERT,TC-00003316,trabajador,Zona 12,ACTIVA
7680,2026-06-12T17:22:00,INSERT,TC-00043900,estudiante,Zona 6,ACTIVA
7681,2026-06-12T12:34:00,INSERT,TC-00056350,trabajador,San Miguel Petapa,ACTIVA
7682,2026-06-12T02:47:00,INSERT,SIN-TARJETA,adulto_mayor,Zona 13,ACTIVA
7683,2026-06-12T23:06:00,INSERT,TC-00034775,trabajador,Zona 10,ACTIVA
7684,2026-06-12T09:09:00,INSERT,0000007115,general,Mixco,ACTIVA
7685,2026-06-12T17:47:00,INSERT,TC-00022931,adulto_mayor,Zona 13,ACTIVA
7686,2026-06-12T00:54:00,INSERT,TC-00038992,trabajador,Zona 1,ACTIVA
7687,2026-06-12T07:01:00,INSERT,TC-00042063,adulto_mayor,Mixco,ACTIVA
7688,2026-06-12T16:44:00,INSERT,TC-00055540,estudiante,Zona 7,ACTIVA
7689,2026-06-12T03:00:00,INSERT,TC-00004030,trabajador,Zona 6,ACTIVA
7690,2026-06-12T16:30:00,INSERT,0000030915,trabajador,Zona 7,ACTIVA
7691,2026-06-12T23:28:00,INSERT,MR0028492,general,San Miguel Petapa,ACTIVA
7692,2026-06-12T20:35:00,INSERT,MR0006223,trabajador,Zona 8,ACTIVA
7693,2026-06-12T17:27:00,INSERT,0000031960,trabajador,Zona 13,ACTIVA
7694,2026-06-12T16:15:00,INSERT,TC-00029421,trabajador,Zona 9,ACTIVA
7695,2026-06-12T07:18:00,INSERT,TC-00044604,trabajador,Zona 10,ACTIVA
7696,2026-06-12T21:03:00,INSERT,SIN-TARJETA,adulto_mayor,Zona 18,ACTIVA
7697,2026-06-12T13:02:00,INSERT,SIN-TARJETA,general,Zona 4,ACTIVA
7698,2026-06-12T23:38:00,INSERT,TC-00042910,adulto_mayor,Zona 1,ACTIVA
7699,2026-06-12T20:15:00,INSERT,TC-00027959,general,Zona 12,ACTIVA
7700,2026-06-12T09:38:00,INSERT,TC-00007555,adulto_mayor,Zona 7,ACTIVA
7701,2026-06-12T04:24:00,INSERT,TC-00034855,trabajador,Villa Nueva,ACTIVA
7702,2026-06-12T08:42:00,INSERT,TC-00055066,estudiante,Zona 8,ACTIVA
7703,2026-06-12T02:42:00,INSERT,TC-00047099,adulto_mayor,San Miguel Petapa,ACTIVA
7704,2026-06-12T21:07:00,INSERT,0000045636,trabajador,Zona 4,ACTIVA
7705,2026-06-12T05:13:00,INSERT,SIN-TARJETA,general,Zona 6,ACTIVA
7706,2026-06-12T12:38:00,INSERT,TC-00043557,general,Santa Catarina Pinula,ACTIVA
7707,2026-06-12T01:24:00,INSERT,TC-00007509,trabajador,San Miguel Petapa,ACTIVA
7708,2026-06-12T13:43:00,INSERT,SIN-TARJETA,general,Zona 13,ACTIVA
7709,2026-06-12T18:09:00,INSERT,SIN-TARJETA,trabajador,Zona 10,ACTIVA
7710,2026-06-12T09:14:00,INSERT,TC-00044987,estudiante,Zona 18,ACTIVA
7711,2026-06-12T04:38:00,INSERT,TC-00012176,estudiante,Zona 17,ACTIVA
7712,2026-06-12T05:43:00,INSERT,0000019454,estudiante,Zona 6,ACTIVA
7713,2026-06-12T20:16:00,INSERT,TC-00058700,general,Zona 13,ACTIVA
7714,2026-06-12T20:33:00,INSERT,MR0037275,general,San Miguel Petapa,ACTIVA
7715,2026-06-12T07:05:00,INSERT,TC-00031778,trabajador,Mixco,ACTIVA
7716,2026-06-12T02:49:00,INSERT,TC-00052002,trabajador,Zona 18,ACTIVA
7717,2026-06-12T17:48:00,INSERT,MR0051053,trabajador,Zona 10,ACTIVA
7718,2026-06-12T18:30:00,INSERT,TC-00023584,general,Zona 7,ACTIVA
7719,2026-06-12T22:36:00,INSERT,TC-00040237,general,Zona 17,ACTIVA
7720,2026-06-12T14:39:00,INSERT,TC-00008318,adulto_mayor,Zona 13,ACTIVA
7721,2026-06-12T17:45:00,INSERT,TC-00009508,adulto_mayor,Zona 12,ACTIVA
7722,2026-06-12T12:12:00,INSERT,0000002674,adulto_mayor,Zona 4,ACTIVA
7723,2026-06-12T16:42:00,INSERT,0000034322,trabajador,Zona 7,ACTIVA
7724,2026-06-12T15:33:00,INSERT,TC-00043866,adulto_mayor,Zona 13,ACTIVA
7725,2026-06-12T11:30:00,INSERT,TC-00002947,trabajador,Zona 8,ACTIVA
7726,2026-06-12T15:58:00,INSERT,TC-00057763,trabajador,Zona 1,ACTIVA
7727,2026-06-12T22:36:00,INSERT,TC-00013707,trabajador,Mixco,ACTIVA
7728,2026-06-12T12:33:00,INSERT,TC-00039847,trabajador,Zona 9,ACTIVA
7729,2026-06-12T16:35:00,INSERT,TC-00023786,general,Zona 18,ACTIVA
7730,2026-06-12T05:48:00,INSERT,TC-00001776,adulto_mayor,Zona 12,ACTIVA
7731,2026-06-12T03:21:00,INSERT,TC-00009248,estudiante,Zona 10,ACTIVA
7732,2026-06-12T01:52:00,INSERT,0000059615,adulto_mayor,Zona 13,ACTIVA
7733,2026-06-12T01:47:00,INSERT,0000038861,trabajador,Zona 7,ACTIVA
7734,2026-06-12T08:51:00,INSERT,TC-00014554,estudiante,Zona 6,ACTIVA
7735,2026-06-12T12:13:00,INSERT,0000004070,estudiante,Zona 4,ACTIVA
7736,2026-06-12T10:17:00,INSERT,0000021887,trabajador,Zona 17,ACTIVA
7737,2026-06-12T17:50:00,INSERT,TC-00041586,general,Zona 13,ACTIVA
7738,2026-06-12T19:05:00,INSERT,TC-00014536,trabajador,Zona 6,ACTIVA
7739,2026-06-12T15:39:00,INSERT,TC-00024253,trabajador,Zona 6,ACTIVA
7740,2026-06-12T02:44:00,INSERT,TC-00047481,trabajador,Santa Catarina Pinula,ACTIVA
7741,2026-06-12T17:17:00,INSERT,SIN-TARJETA,trabajador,Zona 12,ACTIVA
7742,2026-06-12T13:27:00,INSERT,TC-00021637,estudiante,San Miguel Petapa,ACTIVA
7743,2026-06-12T10:45:00,INSERT,TC-00000965,estudiante,Villa Nueva,ACTIVA
7744,2026-06-12T07:11:00,INSERT,TC-00009152,trabajador,Zona 8,ACTIVA
7745,2026-06-12T04:55:00,INSERT,TC-00008457,trabajador,Zona 6,ACTIVA
7746,2026-06-12T12:50:00,INSERT,TC-00003823,trabajador,Zona 10,ACTIVA
7747,2026-06-12T21:51:00,INSERT,TC-00030863,trabajador,Villa Nueva,ACTIVA
7748,2026-06-12T04:25:00,INSERT,TC-00000448,adulto_mayor,Zona 4,ACTIVA
7749,2026-06-12T12:41:00,INSERT,TC-00024274,estudiante,Zona 4,ACTIVA
7750,2026-06-12T23:59:00,INSERT,TC-00005147,trabajador,Zona 4,ACTIVA
7751,2026-06-12T14:37:00,INSERT,TC-00051697,adulto_mayor,Zona 12,ACTIVA
7752,2026-06-12T05:55:00,INSERT,0000027032,trabajador,Zona 18,ACTIVA
7753,2026-06-12T15:31:00,INSERT,0000046004,trabajador,Zona 11,ACTIVA
7754,2026-06-12T21:12:00,INSERT,SIN-TARJETA,trabajador,Santa Catarina Pinula,ACTIVA
7755,2026-06-12T21:49:00,INSERT,TC-00054554,estudiante,Zona 7,ACTIVA
7756,2026-06-12T00:29:00,INSERT,TC-00055572,trabajador,Zona 12,ACTIVA
7757,2026-06-12T15:30:00,INSERT,TC-00026668,trabajador,Zona 10,ACTIVA
7758,2026-06-12T21:32:00,INSERT,TC-00018368,general,Zona 13,ACTIVA
7759,2026-06-12T23:37:00,INSERT,TC-00034296,trabajador,Santa Catarina Pinula,ACTIVA
7760,2026-06-12T19:57:00,INSERT,TC-00020293,estudiante,Mixco,ACTIVA
7761,2026-06-12T19:10:00,INSERT,TC-00041057,trabajador,Zona 1,ACTIVA
7762,2026-06-12T18:01:00,INSERT,TC-00037846,general,Zona 4,ACTIVA
7763,2026-06-12T12:34:00,INSERT,TC-00034345,general,Zona 10,ACTIVA
7764,2026-06-12T08:05:00,INSERT,SIN-TARJETA,trabajador,Villa Nueva,ACTIVA
7765,2026-06-12T01:27:00,INSERT,0000010976,general,Zona 7,ACTIVA
7766,2026-06-12T06:51:00,INSERT,0000035979,trabajador,Zona 10,ACTIVA
7767,2026-06-12T19:52:00,INSERT,0000031459,estudiante,San Miguel Petapa,ACTIVA
7768,2026-06-12T16:24:00,INSERT,TC-00028312,trabajador,San Miguel Petapa,ACTIVA
7769,2026-06-12T12:13:00,INSERT,TC-00040225,trabajador,Zona 10,ACTIVA
7770,2026-06-12T04:09:00,INSERT,TC-00011058,trabajador,Zona 18,ACTIVA
7771,2026-06-12T06:41:00,INSERT,TC-00022811,trabajador,Zona 17,ACTIVA
7772,2026-06-12T05:25:00,INSERT,TC-00050558,trabajador,Zona 1,ACTIVA
7773,2026-06-12T18:52:00,INSERT,TC-00032379,estudiante,Villa Nueva,ACTIVA
7774,2026-06-12T00:46:00,INSERT,TC-00000422,general,Zona 13,ACTIVA
7775,2026-06-12T18:28:00,INSERT,TC-00016179,estudiante,Zona 13,ACTIVA
7776,2026-06-12T12:47:00,INSERT,TC-00041826,general,Zona 7,ACTIVA
7777,2026-06-12T16:57:00,INSERT,TC-00012296,trabajador,Zona 6,ACTIVA
7778,2026-06-12T02:14:00,INSERT,MR0054690,general,San Miguel Petapa,ACTIVA
7779,2026-06-12T23:09:00,INSERT,TC-00036436,trabajador,Zona 6,ACTIVA
7780,2026-06-12T19:58:00,INSERT,SIN-TARJETA,trabajador,Zona 8,ACTIVA
7781,2026-06-12T18:36:00,INSERT,TC-00059134,general,Zona 4,ACTIVA
7782,2026-06-12T09:32:00,INSERT,TC-00007421,trabajador,Zona 11,ACTIVA
7783,2026-06-12T10:11:00,INSERT,TC-00041877,trabajador,Zona 13,ACTIVA
7784,2026-06-12T17:39:00,INSERT,TC-00041449,general,Zona 1,ACTIVA
7785,2026-06-12T04:33:00,INSERT,TC-00059650,adulto_mayor,Zona 6,ACTIVA
7786,2026-06-12T07:33:00,INSERT,TC-00041330,estudiante,Mixco,ACTIVA
7787,2026-06-12T23:53:00,INSERT,TC-00043486,general,Zona 8,ACTIVA
7788,2026-06-12T02:25:00,INSERT,TC-00058713,general,Villa Nueva,ACTIVA
7789,2026-06-12T07:18:00,INSERT,TC-00044467,trabajador,San Miguel Petapa,ACTIVA
7790,2026-06-12T07:18:00,INSERT,TC-00041626,adulto_mayor,Zona 11,ACTIVA
7791,2026-06-12T19:51:00,INSERT,TC-00030092,trabajador,Villa Nueva,ACTIVA
7792,2026-06-12T22:29:00,INSERT,MR0032229,trabajador,Zona 11,ACTIVA
7793,2026-06-12T22:03:00,INSERT,TC-00036310,trabajador,Zona 9,ACTIVA
7794,2026-06-12T08:04:00,INSERT,TC-00042655,trabajador,Zona 6,ACTIVA
7795,2026-06-12T00:08:00,INSERT,TC-00031465,trabajador,Zona 13,ACTIVA
7796,2026-06-12T00:28:00,INSERT,0000057404,adulto_mayor,Zona 17,ACTIVA
7797,2026-06-12T23:46:00,INSERT,TC-00017536,estudiante,Zona 18,ACTIVA
7798,2026-06-12T01:46:00,INSERT,MR0021834,general,Zona 9,ACTIVA
7799,2026-06-12T20:53:00,INSERT,TC-00011824,general,Santa Catarina Pinula,ACTIVA
7800,2026-06-12T13:13:00,INSERT,TC-00014352,trabajador,Zona 7,ACTIVA
7801,2026-06-12T01:01:00,INSERT,MR0012093,trabajador,Santa Catarina Pinula,ACTIVA
7802,2026-06-12T10:11:00,INSERT,TC-00041656,trabajador,Santa Catarina Pinula,ACTIVA
